Cluster ID,productname,productvendor,productversion
79,"Spotlight On Oracle, Oracle Rac","Quest Software, Inc.",9.x
48,Oracle Rac Required Support Files,Oracle,10.x
49,Oracle Rac,Oracle,12.x
48,Oracle Rac,Oracle,10.x
51,Oracle Rac,Oracle,11.x
48,Oracle Rac Required Support Files-Has,Oracle,10.x
51,Oracle Rac Deconfiguration,Oracle,11.x
49,Oracle Rac Deconfiguration,Oracle,12.x
80,Oracle Rac Required Support Files-Has,Oracle,11.x
81,Oracle Rac Required Support Files-Has,Oracle,12.x
48,Oracle Database 10 Express,Oracle,10.x
48,Oracle Database 10 Std,Oracle,10.x
48,Oracle10G Database 10 Std,Oracle,10.x
48,Oracle Database 10 Cus,Oracle,10.x
48,Oracle Database Extensions For .Net,Oracle,10.x
48,Oracle Database Extensions For .Net Documentation,Oracle,10.x
82,Oracle.Wls.Evaluation.Database (Tl),Oracle,12.x
51,Oracle Database 11G Express Edition,Oracle,11.x
51,Oracle Database 11 Std,Oracle,11.x
48,Oracle Database 10G Express Edition,Oracle,10.x
51,Oracle Database Extensions For .Net,Oracle,11.x
83,Oracle-Instantclient11.2-Basic,Oracle,11.x
48,Oracle Database 10 Ent,Oracle,10.x
52,Oracle Complete Dss Starter Database,Oracle,9.x
52,Oracle Complete Oltp Starter Database,Oracle,9.x
53,Oracle Database Demos,Oracle,9.x
53,Oracle Database Utilities,Oracle,9.x
52,Oracle Starter Database,Oracle,9.x
53,Oracle9I Database (Tl),Oracle,9.x
51,Oracle11G Database 11 Ent,Oracle,11.x
84,Oracle Grid Management Database,Oracle,12.x
51,Oracle Database 11 Ent,Oracle,11.x
48,Oracle Database 10G 32 Bit,Oracle,10.x
48,Oracle Database 10G (Tl),Oracle,10.x
48,Oracle Database 10G,Oracle,10.x
48,Oracle Database 10G Products (Tl),Oracle,10.x
48,Oracle Database 10G Intermedia Files,Oracle,10.x
48,Oracle Database Demos,Oracle,10.x
48,Oracle Database Utilities,Oracle,10.x
85,Oracle Starter Database,Oracle,10.x
86,Oracle Database User Interface,Oracle,4.x
51,Oracle Database 11G (Tl),Oracle,11.x
51,Oracle Database 11G,Oracle,11.x
51,Oracle Database 11G Multimedia Files,Oracle,11.x
49,Oracle Database 12C (Tl),Oracle,12.x
49,Oracle Database 12C,Oracle,12.x
49,Oracle Database 12C Multimedia Files,Oracle,12.x
51,Oracle Database Deconfiguration,Oracle,11.x
49,Oracle Database Deconfiguration,Oracle,12.x
51,Oracle Database Gateway For Odbc,Oracle,11.x
49,Oracle Database Gateway For Odbc,Oracle,12.x
51,Oracle Database User Interface,Oracle,11.x
87,Oracle Database User Interface,Oracle,2.x
51,Oracle Database Utilities,Oracle,11.x
49,Oracle Database Utilities,Oracle,12.x
51,Oracle Database Vault Option,Oracle,11.x
49,Oracle Database Vault Option,Oracle,12.x
88,Oracle Starter Database,Oracle,11.x
89,Oracle Starter Database,Oracle,12.x
55,Microsoft Sql Server 2008 R2 Upgrade Advisor,Microsoft,10.x
55,Microsoft Sql Server 2008 R2 Report Builder,Microsoft,10.x
55,Microsoft As Ole Db Provider For Sql Server,Microsoft,13.x
55,Microsoft Sql Server 2012 Analysis Management Objects,Microsoft,11.x
55,Microsoft Sql Server 2014 Analysis Management Objects,Microsoft,12.x
55,Microsoft Sql Server 2016 Analysis Management Objects,Microsoft,13.x
55,Microsoft Sql Server Data Tools,Microsoft,14.x
56,Microsoft Sql Server Data Tools For Visual Studio,Microsoft,15.x
57,Microsoft System Clr Types For Sql Server Vnext Ctp,Microsoft,15.x
55,Sql Server Integration Services,Microsoft,11.x
55,Sql Server Integration Services,Microsoft,12.x
55,Sql Server Integration Services,Microsoft,13.x
55,Sql Server Integration Services Singleton,Microsoft,14.x
90,Sql Server Integration Services Singleton,Microsoft,15.x
55,Sql Server 2008 R2 Database Engine Services Express Edition Express Edition With Advanced Services,Microsoft,10.x
55,Sql Server Analysis Services 2008 R,Microsoft,20.x
55,Sql Server Client Tools 2008 R2 Sp,Microsoft,20.x
55,Sql Server Management Tools 2008 R,Microsoft,20.x
91,Sql Anywhere Database Server,SAP (Sybase),8.x
55,Sql Server Analysis Services 2008 R2 Std,Microsoft,53.x
55,Sql Server Command Line Query Tool,Microsoft,9.x
55,Sql Server Management Studio 2005 Express,Microsoft,20.x
92,Microsoft Network Monitor: Networkmonitor Parsers Forsqlserver,Outercurve Foundation,03.x
55,Sql Server Analysis Services 2012 Std,Microsoft,20.x
93,Sql Server Integration Services,Microsoft,0.x
55,Sql Server 2008 R2 Transact-Sql Language Service,Microsoft,10.x
59,Pi Sql For Af Server,"OSIsoft, LLC.",2.x
55,Sql Server Reporting Services 2008 R2 Std,Microsoft,53.x
94,Sql Server Management Studio,Microsoft,17.x
55,Sql Server 2016 Express,Microsoft,40.x
55,Sql Server Data Tools,Microsoft,11.x
55,Sql Server Data Tools Build Utilities,Microsoft,11.x
60,Active Directory Authentication Library For Sql Server (X86),Microsoft,13.x
55,Microsoft Sql Server 2016 Management Objects,Microsoft,13.x
95,Microsoft Command Line Utilities 15 For Sql Server,Microsoft,15.x
57,Microsoft System Clr Types For Sql Server 2019 Ctp,Microsoft,15.x
55,Sql Server 2014 Express Localdb,Microsoft,20.x
55,Sql Server Analysis Services 2008 R2 Ent,Microsoft,20.x
55,Sql Server 2014 Database Engine Services Developer Edition,Microsoft,12.x
96,Kerberos Configuration Manager For Sql Server,Microsoft,2.x
55,Sql Server 2008 R2 Database Engine Services Express Edition Express Edition,Microsoft,10.x
55,Microsoft Sql Server 2008 Analysis Services Adomd.Net,Microsoft,10.x
55,Microsoft Sql Server Data Tools - Enu (),Microsoft,14.x
55,Sql Server 2005 Analysis Services Adomd.Net,Microsoft,9.x
55,Microsoft As Ole Db Provider For Sql Server,Microsoft,11.x
55,Microsoft Sql Server 2005 Analysis Services 9.0 Oledb Provider,Microsoft,9.x
55,Microsoft Sql Server 2008 Analysis Services 10.0 Oledb Provider,Microsoft,10.x
55,Microsoft Sql Server 2012 Adomd.Net,Microsoft,11.x
55,Sql Server,Microsoft,20.x
55,Sql Server Data Tools,Microsoft,14.x
61,Sql Server Management Objects,Microsoft,2016.x
55,Microsoft As Ole Db Provider For Sql Server,Microsoft,12.x
55,Microsoft Sql Server 2014 T-Sql Language Service,Microsoft,12.x
55,Microsoft Sql Server Data-Tier Application Framework,Microsoft,12.x
62,Microsoft Sql Server Migration Assistant For Oracle Extension Pack,Microsoft,6.x
55,Sql Server 2014 Analysis Services,Microsoft,12.x
